Date,Age,Age_Group,Meet_Type,Pool_Measure,Event,Seed_Time_Seconds,Final_Time_Seconds,Air_Temp_F,Wind_Speed_MPH,Wind_Gust_MPH,Cloud_Cover_Percentage,Wind_Chill_F
03/14/2025,10,10 and Under,Championship,SCY,50_Free,32.88,32.11,62,9,16,40,61
03/14/2025,10,10 and Under,Championship,SCY,50_Fly,33.51,34.22,62,9,16,40,61
03/15/2025,10,10 and Under,Championship,SCY,100_Fly,77.57,81.65,65,8,14,25,65
03/15/2025,10,10 and Under,Championship,SCY,100_IM,84.73,83.28,65,8,14,25,65
04/06/2025,10,10 and Under,Championship,SCY,50_Fly,33.51,33.87,73,8,14,15,73
04/03/2025,10,10 and Under,Championship,SCY,100_Fly,77.57,78.42,70,7,13,20,70
04/27/2025,11,11-12,Invitational,LCM,50_Free,NaN,36.75,76,10,15,16,76
04/26/2025,11,11-12,Invitational,LCM,100_Free,NaN,82.9,72,9,15,25,72
04/27/2025,11,11-12,Invitational,LCM,100_Breast,NaN,109.31,76,10,15,16,76
04/27/2025,11,11-12,Invitational,LCM,50_Fly,NaN,38.41,76,10,15,16,76
04/26/2025,11,11-12,Invitational,LCM,100_Fly,NaN,92.88,72,9,15,25,72
04/26/2025,11,11-12,Invitational,LCM,200_IM,NaN,196.16,72,9,15,25,72
06/07/2025,11,11-12,Invitational,LCM,50_Free,36.75,35.85,73,9,15,15,74
06/07/2025,11,11-12,Invitational,LCM,200_Free,NaN,178.63,73,9,15,15,74
06/07/2025,11,11-12,Invitational,LCM,50_Fly,38.41,37.7,73,9,15,15,74
06/22/2025,11,11-12,Invitational,LCM,50_Free,35.85,35.86,82,9,15,10,83
06/22/2025,11,11-12,Invitational,LCM,200_Free,178.63,183.38,82,9,15,10,83
06/22/2025,11,11-12,Invitational,LCM,50_Fly,37.7,38.47,82,9,15,10,83
07/26/2025,11,11-12,Championship,SCY,50_Free,32.11,31.56,74,10,17,15,74
07/26/2025,11,11-12,Championship,SCY,50_Breast,47.07,43.69,74,10,17,15,74
07/26/2025,11,11-12,Championship,SCY,200_IM,NaN,167.91,74,10,17,15,74
09/28/2025,11,11-12,Invitational,SCY,50_Free,31.56,31.35,73,10,18,20,72
09/27/2025,11,11-12,Invitational,SCY,100_Free,75.87,70.55,75,9,18,10,75
09/27/2025,11,11-12,Invitational,SCY,100_Back,78.84,78.84,75,9,18,10,75
09/27/2025,11,11-12,Invitational,SCY,50_Breast,43.69,43.05,75,9,18,10,75
09/28/2025,11,11-12,Invitational,SCY,100_Fly,78.42,76.39,73,10,18,20,72
09/28/2025,11,11-12,Invitational,SCY,100_IM,78.23,78.23,73,10,18,20,72
11/08/2025,11,11-12,Invitational,SCY,100_Back,78.84,78.14,67,6,13,35,66
11/08/2025,11,11-12,Invitational,SCY,50_Fly,33.87,32.56,67,6,13,35,66
11/08/2025,11,11-12,Invitational,SCY,100_IM,78.23,76.86,67,6,13,35,66
03/20/2026,11,11-12,Championship,SCY,100_Back,78.14,75.32,74,7,15,10,77
03/20/2026,11,11-12,Championship,SCY,50_Fly,32.56,32.12,74,7,15,10,77
03/20/2026,11,11-12,Championship,SCY,100_IM,76.86,75.65,74,7,15,10,77
06/13/2026,12,11-12,Invitational,LCM,50_Free,35.86,35.87,71,4,13,25,78
06/13/2026,12,11-12,Invitational,LCM,50_Back,NaN,41.36,71,4,13,25,78
06/13/2026,12,11-12,Invitational,LCM,50_Fly,38.47,37.52,71,4,13,25,78
